name,province,electorialDistrictNumber,fromParty,toParty
กานต์กนิษฐ์ แห้วสันตติ,กรุงเทพมหานคร,1,พลังประชารัฐ,เพื่อไทย
พัชรินทร์ ซำศิริพงษ์,กรุงเทพมหานคร,2,พลังประชารัฐ,ภูมิใจไทย
กรณิศ งามสุคนธ์รัตนา,กรุงเทพมหานคร,4,พลังประชารัฐ,ภูมิใจไทย
ประเดิมชัย บุญช่วยเหลือ,กรุงเทพมหานคร,5,เพื่อไทย,ภูมิใจไทย
ภาดาท์ วรกานนท์,กรุงเทพมหานคร,6,พลังประชารัฐ,ภูมิใจไทย
การุณ โหสกุล,กรุงเทพมหานคร,10,เพื่อไทย,ไทยสร้างไทย
กษิดิ์เดช ชุติมันต์,กรุงเทพมหานคร,13,พลังประชารัฐ,ภูมิใจไทย
ฐิติภัสร์ โชติเดชาชัยนันต์,กรุงเทพมหานคร,14,พลังประชารัฐ,รวมไทยสร้างชาติ
ประสิทธิ์ มะหะหมัด,กรุงเทพมหานคร,21,พลังประชารัฐ,รวมไทยสร้างชาติ
สมเกียรติ ถนอมสินธุ์,กรุงเทพมหานคร,23,ก้าวไกล,ชาติไทยพัฒนา
ทศพร ทองศิริ,กรุงเทพมหานคร,25,ก้าวไกล,รวมไทยสร้างชาติ
จิรวัฒน์ อรัณยกานนท์,กรุงเทพมหานคร,31,ก้าวไกล,เพื่อไทย
จักรพันธ์ พรนิมิตร,กรุงเทพมหานคร,33,พลังประชารัฐ,ภูมิใจไทย
สมชาย วิษณุวงศ์,กาญจนบุรี,1,พลังประชารัฐ,ภูมิใจไทย
สมเกียรติ วอนเพียร,กาญจนบุรี,2,พลังประชารัฐ,ภูมิใจไทย
ธรรมวิชญ์ โพธิพิพิธ,กาญจนบุรี,4,พลังประชารัฐ,ภูมิใจไทย
อัฏฐพล โพธิพิพิธ,กาญจนบุรี,5,พลังประชารัฐ,ภูมิใจไทย
ไผ่ ลิกค์,กำแพงเพชร,1,เศรษฐกิจไทย,พลังประชารัฐ
สมศักดิ์ คุณเงิน,ขอนแก่น,7,เศรษฐกิจไทย,พลังประชารัฐ
ฐนภัทร กิตติวงศา,จันทบุรี,1,พลังประชารัฐ,รวมไทยสร้างชาติ
จารึก ศรีอ่อน,จันทบุรี,2,พลังท้องถิ่นไท,รวมไทยสร้างชาติ
สรวุฒิ เนื่องจำนงค์,ชลบุรี,4,พลังประชารัฐ,เพื่อไทย
รณเทพ อนุวัฒน์,ชลบุรี,5,พลังประชารัฐ,รวมไทยสร้างชาติ
ขวัญเลิศ พานิชมาท,ชลบุรี,6,ก้าวไกล,ภูมิใจไทย
กวินนาถ ตาคีย์,ชลบุรี,9,พลังท้องถิ่นไท,พลังประชารัฐ
สะถิระ เผือกประพันธุ์,ชลบุรี,10,เศรษฐกิจไทย,พลังประชารัฐ
อนุชา นาคาศัย,ชัยนาท,1,พลังประชารัฐ,รวมไทยสร้างชาติ
มณเฑียร สงฆ์ประชา,ชัยนาท,2,พลังประชารัฐ,ภูมิใจไทย
เชิงชาย ชาลีรินทร์,ชัยภูมิ,2,พลังประชารัฐ,เพื่อไทย
สัมฤทธิ์ แทนทรัพย์,ชัยภูมิ,3,พลังประชารัฐ,ภูมิใจไทย
สุพล จุลใส,ชุมพร,3,รวมพลัง,รวมไทยสร้างชาติ
เอกภพ เพียรพิเศษ,เชียงราย,1,ก้าวไกล,ภูมิใจไทย
รังสรรค์ วันไชยธนวงศ์,เชียงราย,5,เพื่อไทย,ภูมิใจไทย
พีรเดช คำสมุทร,เชียงราย,6,ก้าวไกล,ภูมิใจไทย
ธนัสถ์ ทวีเกื้อกูลกิจ,ตาก,1,เศรษฐกิจไทย,ภูมิใจไทย
ภาคภูมิ บูลย์ประมุข,ตาก,3,เศรษฐกิจไทย,พลังประชารัฐ
วุฒิชัย กิตติธเนศวร,นครนายก,2,เพื่อไทย,ภูมิใจไทย
สินธพ แก้วพิจิตร,นครปฐม,2,ประชาธิปัตย์,รวมไทยสร้างชาติ
ปฐมพงศ์ สูญจันทร์,นครปฐม,5,พลังประชารัฐ,ภูมิใจไทย
ชวลิต วิชยสุทธิ์,นครพนม,4,เพื่อไทย,ไทยสร้างไทย
เกษม ศุภรานนท์,นครราชสีมา,1,เศรษฐกิจไทย,พลังประชารัฐ
อภิชา เลิศพชรกมล,นครราชสีมา,10,ภูมิใจไทย,เพื่อไทย
สมศักดิ์ พันธ์เกษม,นครราชสีมา,12,พลังประชารัฐ,ภูมิใจไทย
สุชาติ ภิญโญ,นครราชสีมา,16,เพื่อไทย,ภูมิใจไทย
สายัณห์ ยุติธรรม,นครศรีธรรมราช,2,พลังประชารัฐ,รวมไทยสร้างชาติ
พิมพ์ภัทรา วิชัยกุล,นครศรีธรรมราช,10,ประชาธิปัตย์,รวมไทยสร้างชาติ
วีระกร คำประกอบ,นครสวรรค์,2,พลังประชารัฐ,ภูมิใจไทย
สัญญา นิลสุพรรณ,นครสวรรค์,3,พลังประชารัฐ,รวมไทยสร้างชาติ
นิโรธ สุนทรเลขา,นครสวรรค์,6,พลังประชารัฐ,รวมไทยสร้างชาติ
เจริญ เรี่ยวแรง,นนทบุรี,1,พลังประชารัฐ,ภูมิใจไทย
วันชัย เจริญนนทสิทธิ์,นนทบุรี,8,เพื่อไทย,ภูมิใจไทย
วัชระ ยาวอหะซัน,นราธิวาส,1,พลังประชารัฐ,รวมไทยสร้างชาติ
อันวาร์ สาและ,ปัตตานี,5,ประชาธิปัตย์,พลังประชารัฐ
นพ ชีวานันท์,พระนครศรีอยุธยา,2,เพื่อไทย,ภูมิใจไทย
ธรรมนัส พรหมเผ่า,พะเยา,1,เศรษฐกิจไทย,พลังประชารัฐ
จีรเดช ศรีวิราช,พะเยา,3,เศรษฐกิจไทย,พลังประชารัฐ
ภูดิท อินสุวรรณ์,พิจิตร,2,พลังประชารัฐ,เพื่อไทย
สุรชาติ ศรีบุศกร,พิจิตร,3,พลังประชารัฐ,รวมไทยสร้างชาติ
อนุชา น้อยวงศ์,พิษณุโลก,3,พลังประชารัฐ,ภูมิใจไทย
นิยม ช่างพินิจ,พิษณุโลก,4,เพื่อไทย,ภูมิใจไทย
กฤษณ์ แก้วอยู่,เพชรบุรี,1,พลังประชารัฐ,ภูมิใจไทย
สาธิต อุ๋ยตระกูล,เพชรบุรี,2,พลังประชารัฐ,รวมไทยสร้างชาติ
สุชาติ อุสาหะ,เพชรบุรี,3,พลังประชารัฐ,ภูมิใจไทย
สมพงษ์ โสภณ,ระยอง,1,พลังประชารัฐ,รวมไทยสร้างชาติ
กุลวลี นพอมรบดี,ราชบุรี,1,พลังประชารัฐ,รวมไทยสร้างชาติ
อัครเดช วงษ์พิทักษ์โรจน์,ราชบุรี,4,ประชาธิปัตย์,รวมไทยสร้างชาติ
ประทวน สุทธิอำนวยเดช,ลพบุรี,2,พลังประชารัฐ,ภูมิใจไทย
วัฒนา สิทธิวัง,ลำปาง,4,เศรษฐกิจไทย,รวมไทยสร้างชาติ
ธีระ ไตรสรณกุล,ศรีสะเกษ,5,เพื่อไทย,ภูมิใจไทย
ศาสตรา ศรีปาน,สงขลา,2,พลังประชารัฐ,รวมไทยสร้างชาติ
พยม พรหมเพชร,สงขลา,3,พลังประชารัฐ,รวมไทยสร้างชาติ
อรุณ สวัสดี,สงขลา,4,พลังประชารัฐ,รวมไทยสร้างชาติ
ไพลิน เทียนสุวรรณ,สมุทรปราการ,7,พลังประชารัฐ,รวมไทยสร้างชาติ
รังสิมา รอดรัศมี,สมุทรสงคราม,1,ประชาธิปัตย์,รวมไทยสร้างชาติ
จอมขวัญ กลับบ้านเกาะ,สมุทรสาคร,3,เศรษฐกิจไทย,พลังประชารัฐ
สมบัติ อำนาคะ,สระบุรี,2,พลังประชารัฐ,รวมไทยสร้างชาติ
องอาจ วงษ์ประยูร,สระบุรี,4,เพื่อไทย,พลังประชารัฐ
พรรณสิริ กุลนาถศิริ,สุโขทัย,1,พลังประชารัฐ,เพื่อไทย
ชูศักดิ์ คีรีมาศทอง,สุโขทัย,2,พลังประชารัฐ,เพื่อไทย
วชิราภรณ์ กาญจนะ,สุราษฎร์ธานี,3,ประชาธิปัตย์,รวมไทยสร้างชาติ
ณัฏฐพล จรัสรพีพงษ์,สุรินทร์,2,เศรษฐกิจไทย,ภูมิใจไทย
ณัฐวุฒิ กองจันทร์ดี,หนองบัวลำภู,3,เพื่อไทย,ไทยสร้างไทย
จักรพรรดิ ไชยสาส์น,อุดรธานี,7,เพื่อไทย,ภูมิใจไทย
ศรัณย์วุฒิ ศรัณย์เกตุ,อุตรดิตถ์,3,เพื่อชาติ,รวมไทยสร้างชาติ
ธนะสิทธิ์ โควสุรัตน์,อุบลราชธานี,6,พลังประชารัฐ,ภูมิใจไทย
แนน บุณย์ธิดา สมชัย,อุบลราชธานี,8,ประชาธิปัตย์,ภูมิใจไทย
