name,party
กรณ์ จาติกวณิช,ชาติพัฒนากล้า
กิติกร วิชัยเรืองธรรม,ไทยธรรม
เกียรติภูมิ สิริพันธุ์,ไทยสมาร์ท
คฑาเทพ เตชะเดชเรืองกุล,เพื่อชาติไทย
คณิศร สมมะลวน,ประชากรไทย
จัตุมงคล โสณกุล,ไทยชนะ
จารุพล เรืองสุวรรณ,เพื่อชาติ
จุรินทร์ ลักษณวิศิษฏ์,ประชาธิปัตย์
ชัยเกษม นิติสิริ,เพื่อไทย
ชัยยพล พสุรัตน์บรรจง,พลัง
ชิงชัย มงคลธรรม,ความหวังใหม่
เชาวฤทธิ์ ขจรพงศ์กีรติ,พลังสังคมใหม่
ไชยนาจ ญาติฉิมพลี,ประชาภิวัฒน์
ฑิฏิวุฒิ ศรีมานพ,พลังปวงชนไทย
ณฐพร ชลายนนาวิน,พลังสังคม
ณัชพล สุพัฒนะ,รักษ์ผืนป่าประเทศไทย
ทวี สอดส่อง,ประชาชาติ
เทวัญ ลิปตพัลลภ,ชาติพัฒนากล้า
นงนุช บัวใหญ่,ช่วยชาติ
บัญชา เดชเจริญศิริกุล,ท้องที่ไทย
บุญยงค์ จันทร์แสง,ประชาไทย
ปภาดา ถาวรเศรษฐ,พลังเพื่อไทย
ประยุทธ์ จันทร์โอชา,รวมไทยสร้างชาติ
ประวิตร วงษ์สุวรรณ,พลังประชารัฐ
ประสูตร รัศมีแพทย์,ไทยเป็นหนึ่ง
ประเสริฐ เลิศยะโส,เพื่ออนาคตไทย
ปรีชา ไข่เเก้ว,มิติใหม่
พงษ์ศักดิ์ พัวพรพงษ์,พลังเพื่อไทย
พิธา ลิ้มเจริญรัตน์,ก้าวไกล
พิมไหมทอง ศักดิพัตโภคิน,ชาติรุ่งเรือง
พีระพันธุ์ สาลีรัฐวิภาค,รวมไทยสร้างชาติ
แพทองธาร ชินวัตร,เพื่อไทย
ภคมน วงศ์ใหญ่,ประชากรไทย
มงคลกิตติ์ สุขสินธารานนท์,ไทยศรีวิไลย์
ยุทธนา รักชลธี,แนวทางใหม่
รฎาวัญ วงศ์ศรีวงศ์,เสมอภาค
รัฐฐาน์ พีรวิชญ์ธนาภัค,ราษฎร์วิถี
รัตติกาล โสวะภาส,ไทยธรรม
ราเชน ตระกูลเวียง,ทางเลือกใหม่
เรวัต วิศรุตเวช,เพื่อชาติ
ลิขสิทธิ์ ใสกระจ่าง,พลัง
วรงค์ เดชกิจวิกรม,ไทยภักดี
วราวุธ ศิลปอาชา,ชาติไทยพัฒนา
วัชรพล บุษมงคล,ไทยก้าวหน้า
วันมูหะมัดนอร์ มะทา,ประชาชาติ
วิทยา อินาลา,ไทยพร้อม
วิษณุ กรองกันภัย,ไทยพร้อม
ศิธา ทิวารี,ไทยสร้างไทย
เศรษฐา ทวีสิน,เพื่อไทย
สมเกียรติ ศรลัมพ์,ประชาภิวัฒน์
สายันห์ อินทรภักดิ์,คลองไทย
สิทธิ์ สิทธิมงคล,ไทยก้าวหน้า
สุชาติ บรรดาศักดิ์,ราษฎร์วิถี
สุดารัตน์ เกยุราพันธุ์,ไทยสร้างไทย
สุพันธุ์ มงคลสุธี,ไทยสร้างไทย
สุรทิน พิจารณ์,ประชาธิปไตยใหม่
สุวัจน์ ลิปตพัลลภ,ชาติพัฒนากล้า
เสรีพิศุทธ์ เตมียเวส,เสรีรวมไทย
หรรษธร ณรงค์,ประชากรไทย
อโณทัย ดวงดารา,ไทยธรรม
อนุทิน ชาญวีรกูล,ภูมิใจไทย
อัครนันท์ อริยศรีพงษ์,เปลี่ยนอนาคต
เอกวรพงศ์ อำนวยทรัพย์,พลังเพื่อไทย