ThName,EnName,Partner,Subtitle,Tag,URL,Path,OrderLaunch,OrderPre,ComingSoon
4 ปีผ่านมา ส.ส. ทำอะไรกันในสภาบ้าง?,They Work For Us,WeVis,ทวนความจำกับผลงานการลงมติและการย้ายพรรคของ ส.ส. ชุดล่าสุด,ผลงานที่ผ่านมา,https://theyworkforus.wevis.info/,theyworkforus,1,5,No
4 ปีผ่านมา พรรคการเมืองทำตามสัญญาอะไรได้บ้าง?,Promise Tracker,WeVis,ทวนความจำกับพรรคในสภาชุดล่าสุด เคยขายนโยบายและทำอะไรไปบ้าง,ผลงานที่ผ่านมา,https://promisetracker.wevis.info/,promisetracker,2,6,No
4 ปีผ่านมา  กฎหมายอะไรผ่านเข้าสภาบ้าง?,Law Watch,WeVis x 101Pub,ตรวจงานรัฐสภาชุดล่าสุด เคยเสนอ/ผ่านกฎหมายอะไรให้เรา,ผลงานที่ผ่านมา,https://wevis.info/law-watch,lawwatch,3,7,No
"ส.ส. เขตบ้าน ทำงานตรงกับใจคุณแค่ไหน",They Work for You?,WeVis,ลองโหวตกฎหมายที่เข้าสภาช่วง 4 ปีที่ผ่านมา เทียบกับผลโหวต ส.ส. เขตของคุณ,ผลงานที่ผ่านมา,https://election66.wevis.info/theyworkforyou,theyworkforyou,4,8,No
สำรวจความคิด ผู้แทนแบบไหน ที่เราอยากเห็น?,Design Your MPs,WeVis,ประชาชนทั้งหลาย มาช่วยกันออกแบบผู้แทนที่เราอยากเห็นกัน,เครื่องมืออื่นๆ,https://election66.wevis.info/designyourmp,designyourmp,5,9,No
"เลือกตั้งรอบนี้ มีอะไรให้เลือกบ้าง?",Your Candidates,WeVis,เลือกตั้ง 66 มีผู้สมัคร/พรรคการเมืองไหนลงในเขตเรา,เตรียมตัวเลือกตั้ง,https://election66.wevis.info/yourcandidates,yourcandidates,6,1,No
เลือกตั้งรอบนี้ พรรคคุณพี่ขายอะไรคะ?,Policy Shop,WeVis,เลือกตั้ง 66 มีนโยบายอะไรน่าสนใจจากแต่ละพรรคการเมืองบ้าง,เตรียมตัวเลือกตั้ง,https://election66.wevis.info/policyshop,policyshop,7,2,No
เลือกตั้งรอบนี้ มาลอง DIY ผลเลือกตั้งกัน,Election SIM,WeVis x BeyondX,ลองเล่น! ทำนายผลเลือกตั้ง 66 จากคำตอบของคุณแบบง่ายๆ,เตรียมตัวเลือกตั้ง,https://election66.wevis.info/electionsim,electionsim,8,3,No
เลือกตั้งรอบนี้ ส.ส./ผู้สมัคร เกี่ยวข้องกับธุรกิจไหนบ้าง?,Politics & Business,WeVis x HANDSE x Creden,ลองสืบ! คน(จะ)เป็นผู้แทนฯ มีธุรกิจอะไร เกี่ยวข้องกับโครงการรัฐไหนบ้าง,เตรียมตัวเลือกตั้ง,https://election66.wevis.info/mpasset,mpasset,9,4,No
ส่องเพจพรรค ที่ผ่านมา โพสต์อะไรกันไว้บ้าง,Politics on Social,WeVis x Wisesight,ส่องโลกออนไลน์ของ 6 พรรคการเมืองหลักในสภา,เครื่องมืออื่นๆ,https://wevis.info/politics-on-social/,politicsonsocial,10,10,No